ID,kmeans_cluster2,kmeans_cluster3,kmeans_cluster4,kmeans_cluster5,kmeans_cluster6,kmeans_cluster7,kmeans_cluster8,kmeans_cluster9,kmeans_cluster10
500,0,1,3,4,3,2,0,5,0
501,0,2,2,3,0,0,1,0,3
502,0,1,3,4,3,2,0,5,0
513,1,0,1,2,1,1,4,2,1
514,0,2,2,0,0,0,5,4,8
515,1,0,1,2,1,1,4,2,1
517,0,2,2,3,0,0,1,0,3
523,0,2,2,3,0,0,1,7,7
527,0,1,3,4,3,2,0,5,0
530,1,0,1,2,1,1,4,2,1
533,1,0,1,2,1,1,4,2,1
535,0,2,2,3,0,0,1,0,3
537,0,2,2,3,0,0,1,0,3
538,1,0,1,2,1,1,4,2,1
543,0,2,2,0,0,0,5,4,8
544,0,2,2,3,0,0,1,0,3
547,0,2,2,0,0,6,5,4,8
548,0,1,3,4,3,2,0,5,0
549,1,0,1,2,1,1,4,2,1
550,1,0,1,2,1,1,4,2,1
551,1,0,1,2,1,1,4,2,1
553,1,0,1,2,1,1,4,2,1
554,0,2,2,3,0,0,1,0,3
555,0,2,2,3,0,0,1,0,3
558,0,2,2,3,0,0,1,0,3
560,1,0,1,2,1,1,4,2,1
561,0,2,2,3,0,0,1,0,2
564,0,2,0,1,5,4,7,6,4
566,0,2,2,3,0,0,1,0,3
567,0,2,0,1,4,5,3,8,5
568,1,0,1,2,1,6,2,1,9
571,0,2,2,3,0,0,1,0,3
572,0,2,2,3,0,0,1,0,2
573,0,2,2,3,0,0,1,0,3
576,0,2,2,3,0,0,1,0,3
577,0,2,0,1,5,4,7,6,4
578,0,2,2,3,0,0,1,0,3
579,0,2,2,3,0,0,1,7,7
580,0,2,2,3,0,0,1,0,2
581,0,2,2,3,0,0,1,7,7
582,0,2,2,0,0,0,5,4,8
583,0,2,2,3,0,0,1,0,3
584,1,0,1,2,1,6,2,1,9
586,0,2,2,3,0,0,1,0,3
587,0,2,2,3,0,0,1,0,3
588,0,2,2,3,0,0,1,7,7
591,0,2,0,1,0,0,1,0,3
596,0,2,0,1,5,4,7,6,4
598,1,0,1,2,1,1,4,2,1
599,0,1,3,4,3,2,0,5,0
600,0,2,2,3,0,0,1,0,3
602,0,2,2,3,0,0,1,0,3
606,0,2,2,3,0,0,1,0,3
609,0,2,2,3,0,0,1,0,2
611,0,2,2,3,0,0,1,0,3
614,0,1,3,4,3,2,0,5,0
618,0,2,2,3,0,0,1,7,7
622,0,2,2,3,0,0,1,0,3
623,0,2,2,3,0,0,1,0,3
626,0,2,2,3,0,0,1,0,2
627,0,2,2,3,0,0,1,0,3
631,0,2,2,3,0,0,1,0,2
633,0,2,2,3,0,0,1,0,3
635,0,2,2,3,0,0,1,0,3
636,1,0,1,2,1,1,4,2,1
639,1,0,1,2,1,6,2,1,9
640,0,2,2,3,0,0,1,0,3
641,0,2,2,3,0,0,1,0,2
645,1,0,1,2,1,1,4,2,1
647,0,2,2,3,0,0,1,0,3
648,0,2,2,3,0,0,1,0,3
649,0,2,2,3,0,0,1,0,3
650,0,2,2,3,0,0,1,7,7
651,0,1,3,4,3,2,0,5,2
652,0,2,2,3,0,0,1,0,3
653,1,0,1,2,1,6,2,1,9
654,0,2,2,3,0,0,1,7,7
656,0,2,2,3,2,3,6,3,3
657,0,2,2,3,0,0,1,0,3
658,0,2,2,3,0,0,1,0,3
659,0,2,2,3,0,0,1,0,3
661,0,2,2,3,0,0,1,0,3
662,0,2,2,3,0,0,1,0,3
663,0,2,2,3,0,0,1,0,3
667,0,2,2,3,0,0,1,0,2
668,0,2,2,3,0,0,1,7,7
669,1,0,1,2,1,1,4,2,1
673,0,2,2,3,0,0,1,7,7
674,1,0,1,2,1,1,4,2,1
679,0,2,0,1,4,5,3,8,5
681,0,2,2,3,0,0,1,0,3
682,0,2,0,1,4,5,3,8,5
686,1,0,1,2,1,6,2,1,9
687,0,2,2,3,0,0,1,0,3
688,0,2,2,3,0,0,1,0,3
689,0,2,2,3,0,0,1,0,2
690,1,0,1,2,1,6,2,1,9
692,0,2,2,3,0,0,1,0,3
694,0,1,3,4,2,3,6,3,6
695,0,2,2,3,0,0,1,7,7
697,0,1,3,4,3,2,0,5,0
701,0,2,2,0,0,6,5,4,8
702,0,2,0,1,5,4,7,6,4
706,0,2,0,1,4,5,3,8,5
708,0,2,2,0,0,6,5,4,8
710,0,2,2,3,0,0,1,0,3
712,0,2,0,1,4,5,3,8,5
714,0,2,2,3,0,0,1,0,3
715,0,2,2,0,0,0,5,4,8
717,0,2,2,3,0,0,1,7,7
718,0,2,2,0,0,0,5,4,8
720,0,2,0,1,4,5,3,8,5
725,0,2,2,3,0,0,1,0,3
726,1,0,1,2,1,6,2,1,9
730,0,2,2,3,0,0,1,0,3
731,0,2,2,3,0,0,1,0,3
732,0,1,3,4,3,2,0,5,0
734,0,2,2,3,0,0,1,0,3
735,0,2,2,3,0,0,1,7,7
737,1,0,1,2,1,1,4,2,1
738,0,2,2,3,0,0,1,0,3
740,0,2,2,3,0,0,1,0,2
741,0,2,2,3,0,0,1,0,3
746,0,2,2,3,0,0,1,7,7
748,0,2,0,1,5,4,7,6,4
753,1,0,1,2,1,1,4,2,1
754,0,2,0,1,5,4,7,6,4
757,0,1,3,4,3,2,0,5,0
758,1,0,1,2,1,1,4,2,1
759,1,0,1,2,1,1,4,2,1
760,0,2,2,3,0,0,1,0,3
761,0,2,2,3,0,0,1,7,7
767,0,2,2,3,0,0,1,0,3
768,0,2,0,1,4,5,3,8,5
771,0,2,2,3,0,0,1,7,7
772,0,1,3,4,3,2,0,5,0
775,0,2,0,1,4,5,3,8,5
782,0,2,2,0,0,0,5,4,8
783,0,2,2,3,0,0,1,0,2
784,0,1,3,4,2,3,6,3,6
785,1,0,1,2,1,6,2,1,9
787,0,2,2,3,0,0,1,0,3
789,0,2,2,3,0,0,1,0,3
790,0,2,2,3,0,0,1,7,7
791,0,2,2,3,0,0,1,7,7
792,0,2,2,3,0,0,1,0,3
793,0,2,2,0,0,6,5,4,8
795,0,1,3,4,3,2,0,5,0
797,1,0,1,2,1,1,4,2,1
798,0,1,3,4,3,2,0,5,0
799,0,2,0,1,4,5,3,8,5
800,1,0,1,2,1,1,4,2,1
806,0,2,2,3,0,0,1,0,3
807,0,2,2,3,0,0,1,7,7
808,1,0,1,2,1,1,4,2,1
811,1,0,1,2,1,1,4,2,1
812,1,0,1,2,1,1,4,2,1
813,0,2,2,3,0,0,1,0,3
814,0,2,2,3,0,0,1,7,7
815,0,1,3,4,3,2,0,5,0
816,0,2,2,3,0,0,1,7,7
818,1,0,1,2,1,6,2,1,9
820,0,2,0,1,4,5,3,8,5
822,0,1,3,4,2,3,6,3,6
823,0,2,2,3,0,0,1,0,3
827,0,2,2,3,0,0,1,0,3
828,0,2,2,3,0,0,1,0,3
829,0,2,2,3,0,0,1,0,3
834,0,2,0,1,5,4,7,6,4
835,0,2,2,3,0,0,1,0,2
836,1,0,1,2,1,6,2,1,9
838,0,2,2,3,0,0,1,0,3
846,1,0,1,2,1,1,4,2,1
847,0,2,0,1,4,5,3,8,5
849,0,1,3,4,3,2,0,5,0
850,0,2,2,3,0,0,1,7,7
851,0,2,2,3,0,0,1,0,3
852,1,0,1,2,1,1,4,2,1
857,0,2,2,3,0,0,1,0,2
858,0,2,2,3,0,0,1,7,7
859,0,2,2,3,0,0,1,0,3
860,0,2,2,3,0,0,1,0,3
862,0,2,2,3,0,0,1,0,2
863,0,2,2,3,0,0,1,0,3
864,0,2,2,3,0,0,1,0,3
868,0,2,2,3,0,0,1,0,3
869,0,2,2,3,0,0,1,7,7
877,0,2,2,3,0,0,1,0,3
878,1,0,1,2,1,1,4,2,1
881,0,2,2,3,0,0,1,7,7
882,1,0,1,2,1,1,4,2,1
885,0,2,0,1,4,5,3,8,5
887,1,0,1,2,1,1,4,2,1
888,0,2,2,3,0,0,1,0,3
889,0,1,3,4,3,2,0,5,0
891,0,2,2,3,0,0,1,0,3
898,0,2,2,3,0,0,1,0,3
903,0,2,0,1,0,0,1,0,3
904,0,1,3,4,3,2,0,5,0
906,0,2,2,3,0,0,1,0,3
907,0,2,2,3,0,0,1,0,3
908,0,2,2,3,0,0,1,7,7
909,1,0,1,2,1,6,2,1,9
910,1,0,1,2,1,1,4,2,1
911,0,2,2,3,0,0,1,0,3
913,0,2,2,3,0,0,1,0,3
916,0,2,2,3,0,0,1,0,3
920,0,2,0,1,4,5,3,8,2
924,0,2,2,3,0,0,1,7,7
925,0,2,2,3,0,0,1,0,3
927,0,2,2,3,0,0,1,0,3
928,0,1,3,4,2,3,6,3,6
932,0,2,2,3,0,0,1,0,3
933,0,2,0,1,5,4,7,6,4
934,0,2,0,1,5,4,7,6,4
935,0,2,2,3,0,0,1,0,3
936,0,2,2,3,0,0,1,0,3
940,1,0,1,2,1,1,4,2,1
942,1,0,1,2,1,6,2,1,9
943,1,0,1,2,1,1,4,2,1
944,0,2,2,3,0,0,1,0,3
945,1,0,1,2,1,1,4,2,1
948,1,0,1,2,1,1,4,2,1
949,0,2,2,3,0,0,1,0,3
958,0,2,2,3,0,0,1,7,7
959,0,2,2,0,0,0,5,4,8
961,0,2,2,3,0,0,1,0,3
962,0,2,2,3,0,0,1,0,3
964,0,1,3,4,3,2,0,5,0
965,0,2,2,0,0,0,5,4,8
967,0,2,2,3,0,0,1,7,7
968,1,0,1,2,1,1,4,2,1
970,0,2,2,3,0,0,1,0,3
973,0,2,2,3,0,0,1,7,7
974,1,0,1,2,1,1,4,2,1
976,0,2,2,3,0,0,1,7,7
977,0,1,3,4,3,2,0,5,0
978,0,2,2,0,0,0,5,4,8
979,1,0,1,2,1,1,4,2,1
981,0,2,2,3,0,0,1,0,3
984,0,2,2,3,0,0,1,0,3
986,0,2,2,3,0,0,1,7,7
989,1,0,1,2,1,1,4,2,1
990,1,0,1,2,1,6,2,1,9
993,0,2,2,3,0,0,1,0,3
994,0,2,2,3,0,0,1,0,3
997,0,2,2,3,0,0,1,0,3
999,1,0,1,2,1,6,2,1,9
1000,1,0,1,2,1,1,4,2,1
1003,1,0,1,2,1,1,4,2,1
1006,0,2,0,1,4,5,3,8,5
1007,0,2,2,3,0,0,1,7,7
1008,1,0,0,0,4,6,2,1,9
1009,1,0,1,2,1,1,4,2,1
1017,0,2,2,3,0,0,1,0,3
1018,1,0,1,2,1,6,2,1,9
1019,1,0,1,2,1,6,2,1,9
1020,0,2,2,3,0,0,1,0,3
1021,0,2,2,3,0,0,1,7,7
1027,0,2,2,0,0,6,5,4,8
1030,0,2,2,3,0,0,1,7,7
1031,1,0,1,2,1,1,4,2,1
1033,0,2,2,3,0,0,1,0,3
1035,1,0,1,2,1,6,2,1,9
1038,0,1,3,4,3,2,0,5,0
1040,0,2,2,0,0,0,5,4,8
1041,1,0,1,2,1,1,4,2,1
1043,0,2,2,3,0,0,1,0,3
1044,0,2,2,3,0,0,1,0,3
1047,1,0,1,2,1,1,4,2,1
1048,0,2,2,0,0,0,5,4,8
1049,1,0,1,2,1,1,4,2,1
1051,1,0,1,2,1,1,4,2,1
1053,0,2,2,3,0,0,1,0,3
1054,0,2,0,1,5,4,7,6,4
1056,0,2,2,3,0,0,1,0,3
1059,0,2,2,3,0,0,1,0,3
1061,0,2,2,3,0,0,1,0,3
1069,0,2,2,3,0,0,1,0,3
1071,0,2,2,3,0,0,1,7,7
1073,0,1,3,4,3,2,0,5,0
1074,0,2,0,1,5,4,7,6,4
1075,0,1,3,4,3,2,0,5,0
1076,1,0,1,2,1,1,4,2,1
1080,0,2,0,1,5,4,7,6,4
1083,1,0,1,2,1,1,4,2,1
1084,0,2,2,0,0,6,5,4,8
1085,0,2,2,3,0,0,1,0,3
1086,1,0,1,2,1,6,2,1,9
1087,0,2,0,1,5,4,7,6,4
1088,0,2,2,3,0,0,1,0,3
1089,0,2,2,3,0,0,1,0,3
1090,0,2,2,3,0,0,1,0,3
1091,1,0,1,2,1,1,4,2,1
1092,0,2,2,3,0,0,1,0,3
1095,0,2,2,3,0,0,1,0,3
1096,0,2,2,3,0,0,1,7,7
1097,0,2,2,3,0,0,1,0,3
1098,0,2,2,3,0,0,1,0,2
1099,1,0,1,2,1,1,4,2,1
1100,1,0,1,2,1,6,2,1,9
1101,0,2,2,3,0,0,1,0,3
1104,1,0,1,2,1,1,4,2,1
1105,0,2,2,3,0,0,1,7,7
1108,0,2,2,3,0,0,1,0,2
1109,0,2,2,0,0,0,5,4,8
1110,0,2,2,3,2,3,6,3,2
1111,0,2,2,3,0,0,1,7,7
1115,1,0,1,2,1,6,2,1,9
1117,0,2,2,3,0,0,1,0,3
1119,1,0,1,2,1,6,2,1,9
1122,0,2,2,3,0,0,1,0,3
1123,0,2,2,3,0,0,1,0,3
1124,0,2,2,3,0,0,1,0,3
1125,0,2,2,3,0,0,1,7,7
1126,0,2,2,3,0,0,1,0,2
1127,0,2,2,3,0,0,1,0,3
1129,0,2,2,3,0,0,1,0,3
1131,0,1,3,4,2,3,6,3,6
1133,1,0,1,2,1,1,4,2,1
1134,1,0,1,2,1,1,4,2,1
1136,1,0,1,2,1,1,4,2,1
1137,0,2,2,3,0,0,1,0,3
1140,1,0,1,2,1,1,4,2,1
1142,1,0,1,2,1,1,4,2,1
1144,0,2,0,1,4,5,3,8,5
1145,0,2,2,3,0,0,1,7,7
1147,0,2,2,0,0,6,5,4,8
1150,0,2,0,1,4,5,3,8,5
1154,0,2,2,3,0,0,1,0,3
1156,1,0,1,2,1,1,4,2,1
1158,0,2,2,3,0,0,1,7,7
1159,0,2,2,3,0,0,1,0,3
1163,0,2,2,3,0,0,1,0,2
1165,0,2,2,3,0,0,1,0,3
1166,0,2,2,3,0,0,1,0,3
1167,0,2,2,3,0,0,1,0,2
1170,1,0,1,2,1,1,4,2,1
1171,0,2,0,1,5,4,7,6,4
1172,0,2,2,3,0,0,1,0,3
1173,0,2,2,3,0,0,1,0,3
1175,0,2,0,1,5,4,7,6,4
1179,1,0,1,2,1,1,4,2,1
1183,1,0,1,2,1,1,4,2,1
1184,0,2,2,3,0,0,1,0,3
1186,0,2,2,3,0,0,1,0,3
1187,0,2,2,3,0,0,1,0,3
1188,0,2,2,3,0,0,1,0,3
1189,0,1,3,4,3,2,0,5,0
1191,0,2,2,3,0,0,1,7,7
1192,0,2,2,3,0,0,1,0,3
1193,1,0,1,2,1,1,4,2,1
1195,0,2,2,3,0,0,1,0,3
1197,0,1,3,4,2,3,6,3,6
1198,1,0,1,2,1,1,4,2,1
1203,1,0,1,2,1,1,4,2,1
1204,1,0,1,2,1,1,4,2,1
1205,1,0,1,2,1,6,2,1,9
1209,0,2,2,3,0,0,1,0,3
1210,1,0,1,2,1,1,4,2,1
1211,0,2,2,3,0,0,1,0,3
1213,1,0,1,2,1,1,4,2,1
1214,0,1,3,4,3,2,0,5,0
1215,0,2,2,3,0,0,1,0,3
1217,0,2,2,3,0,0,1,0,3
1218,0,2,2,3,0,0,1,7,7
1220,0,2,0,1,5,4,7,6,4
1223,0,2,2,3,0,0,1,0,3
1224,0,0,1,2,1,1,4,2,1
1226,1,0,1,2,1,1,4,2,1
1228,0,2,2,0,0,0,5,4,8
1229,1,0,1,2,1,1,4,2,1
1242,0,2,2,3,0,0,1,7,7
1243,0,2,2,3,0,0,1,0,3
1246,0,2,2,3,0,0,1,0,3
1248,0,2,2,3,0,0,1,0,3
1249,0,2,2,3,0,0,1,7,7
1252,1,0,1,2,1,1,4,2,1
1253,0,2,2,3,0,0,1,7,7
1254,0,2,2,3,0,0,1,0,2
1255,0,2,2,3,0,0,1,0,3
1256,1,0,1,2,1,1,4,2,1
1258,0,2,2,3,0,0,1,7,7
1260,0,1,3,4,2,3,6,3,6
1261,0,2,0,1,5,4,7,6,4
1262,0,2,2,3,0,0,1,0,3
1263,0,2,2,3,0,0,1,0,3
1264,1,0,1,2,1,1,4,2,1
1265,0,2,2,3,0,0,1,0,2
1269,1,0,1,2,1,6,2,1,9
1271,0,2,2,3,0,0,1,7,7
1274,1,0,1,2,1,6,2,1,9
1275,0,2,2,3,0,0,1,0,2
1277,0,2,2,0,0,0,5,4,8
1280,0,1,3,4,3,2,0,5,0
1281,1,0,1,2,1,1,4,2,1
1282,1,0,1,2,1,1,4,2,1
1285,0,2,2,3,0,0,1,0,3
1287,0,2,2,3,0,0,1,0,3
1288,1,0,1,2,1,1,4,2,1
1291,0,2,2,3,0,0,1,0,3
1295,0,2,2,3,0,0,1,7,7
1297,0,2,2,0,0,0,5,4,8
1300,0,2,2,3,0,0,1,0,3
1302,0,2,2,0,0,6,5,4,8
1303,0,2,2,3,0,0,1,0,3
1305,1,0,1,2,1,1,4,2,1
1307,0,2,2,0,0,0,5,4,8
1309,0,2,2,3,0,0,1,0,3
1313,0,2,2,0,0,0,5,4,8
1314,1,0,1,2,1,1,4,2,1
1316,0,2,2,3,0,0,1,7,7
1317,0,2,2,3,3,2,0,0,2
1321,1,0,1,2,1,1,4,2,1
1322,0,2,2,3,0,0,1,0,3
1327,1,0,1,2,1,6,2,1,9
1328,0,2,2,3,0,0,1,0,3
1330,0,2,2,3,0,0,1,7,7
1333,0,2,0,1,4,5,3,8,5
1334,1,0,1,2,1,1,4,2,1
1337,0,1,3,4,3,2,0,5,0
1339,0,2,2,3,0,0,1,0,2
1341,0,2,2,3,0,0,1,0,3
1343,0,2,2,3,0,0,1,0,3
1344,0,2,2,3,0,0,1,0,3
1346,0,2,2,3,0,0,1,7,7
1348,1,0,1,2,1,1,4,2,1
1352,0,2,2,3,0,0,1,7,7
1353,1,0,1,2,1,1,4,2,1
1357,0,2,2,3,0,0,1,7,7
1358,0,2,2,3,0,0,1,0,3
